Region,year,marriage,divorce,income,grp,higher_edu,senior_edu,junior_edu,primary_edu,kindergarten_edu,birth,death,natural_growth,natural_disaster,urban_unemployment,mobile_owner,car_owner,patent
Hunan,2014,62.2,17.6,17622,25881.3,2160.0,2712.0,3298.0,7082,3037,13.52,6.89,6.63,206.5,47.3,70.15,434.48,44194
Guangdong,2014,89.15,17.79,25685,68173.0,2356.0,3802.0,3540.0,7816,3564,10.8,4.7,6.1,337.1,36.8,139.35,1331.84,278358
Guangxi,2014,47.23,10.09,15557,13587.8,2052.0,3676.0,4134.0,9150,4182,14.07,6.21,7.86,191.7,18.7,74.75,316.53,32298
Hainan,2014,9.0,1.41,17476,3449.0,2317.0,3648.0,3768.0,8407,3506,14.56,5.95,8.61,177.4,4.3,100.44,75.11,2416
Chongqing,2014,30.45,13.26,18352,14623.8,3017.0,3849.0,3298.0,6849,3012,10.67,7.05,3.62,98.5,13.4,86.58,237.04,55298
Sichuan,2014,77.42,27.5,15749,28891.3,2244.0,3312.0,3187.0,6554,2970,10.22,7.02,3.2,205.4,54.4,81.18,666.92,91167
Guizhou,2014,43.72,9.57,12371,9173.1,1690.0,4422.0,5906.0,9888,3423,12.98,7.18,5.8,198.0,14.1,82.25,244.72,22467
Yunnan,2014,46.48,10.05,13772,14041.7,1731.0,2897.0,4050.0,8166,2658,12.65,6.45,6.2,444.2,19.2,79.52,429.74,13343
Tibet,2014,1.96,0.26,10730,939.7,1676.0,2329.0,3983.0,9458,2600,15.76,5.21,10.55,1.9,1.7,91.9,29.47,248
Shaanxi,2014,38.12,8.51,15837,17402.5,3652.0,3598.0,2968.0,6015,3527,10.13,6.26,3.87,93.4,22.3,95.55,384.88,56235
Gansu,2014,20.18,4.22,12185,6518.4,2219.0,3755.0,3760.0,6980,2402,12.21,6.11,6.1,74.6,9.7,79.46,185.31,12020
Qinghai,2014,5.4,1.25,14374,1847.7,1220.0,3651.0,3669.0,7980,3028,14.67,6.18,8.49,9.3,4.2,93.24,68.84,1534
Ningxia,2014,5.6,1.58,15907,2473.9,2255.0,3772.0,4254.0,8999,2765,13.1,4.53,8.57,16.6,5.0,104.04,91.05,3532
Xinjiang,2014,27.92,10.8,15097,9264.5,1749.0,3277.0,4025.0,8581,3322,16.44,4.97,11.47,170.1,11.2,90.38,272.21,10210
Beijing,2013,16.37,6.46,40830,21134.6,5469.0,1912.0,1501.0,3815,1685,8.93,4.52,4.41,4.8,7.5,159.53,517.11,123336
Tianjin,2013,10.26,4.53,26359,9945.4,4346.0,2077.0,1845.0,3907,1651,8.28,6.0,2.28,1.0,21.7,89.88,261.58,60915
Hebei,2013,74.08,17.88,15190,24259.6,2108.0,2745.0,2866.0,7495,2922,13.04,6.87,6.17,113.3,37.2,81.91,816.29,27619
Shanxi,2013,38.4,6.1,15120,11987.2,2474.0,3872.0,3576.0,6359,2635,10.81,5.57,5.24,146.9,21.1,85.55,378.27,18859
Inner Mongolia,2013,22.16,8.07,18693,11392.4,2137.0,3048.0,2765.0,5263,2070,8.98,5.62,3.36,128.9,23.8,107.73,306.87,6388
Liaoning,2013,36.96,15.21,20818,19208.8,2903.0,2539.0,2409.0,4657,1951,6.09,6.12,-0.03,125.2,39.6,104.41,457.05,45996
Jilin,2013,25.41,12.4,15998,9427.9,3033.0,2513.0,2345.0,4952,1607,5.36,5.04,0.32,133.3,22.6,86.22,248.35,10751
Heilongjiang,2013,37.66,17.83,15903,11849.1,2529.0,2658.0,2433.0,4017,1410,6.86,6.08,0.78,325.2,41.4,78.76,289.81,32264
Shanghai,2013,14.95,6.96,42174,23204.1,3421.0,1308.0,1835.0,3330,2105,8.18,5.24,2.94,3.7,25.3,132.52,234.91,86450
Jiangsu,2013,90.38,21.66,24776,59349.4,2814.0,2738.0,2345.0,5497,2927,9.44,7.01,2.43,32.7,37.6,100.03,944.35,504500
Zhejiang,2013,42.22,13.24,29775,37334.6,2363.0,2887.0,2707.0,6383,3412,10.01,5.45,4.56,695.9,33.4,128.62,901.99,294014
Anhui,2013,80.56,15.62,15154,20584.0,2203.0,3794.0,3335.0,6834,2805,12.88,6.06,6.82,206.4,32.4,65.65,358.74,93353
Fujian,2013,39.59,8.26,21218,22503.8,2435.0,3341.0,2957.0,6933,3823,12.2,6.01,6.19,120.8,14.7,114.02,332.97,53701
Jiangxi,2013,39.37,8.61,15100,14300.2,2381.0,3336.0,3895.0,9061,3471,13.19,6.28,6.91,90.2,27.4,62.07,246.84,16938
Shandong,2013,89.14,22.51,19008,47344.3,2304.0,3213.0,3283.0,6463,2710,11.41,6.4,5.01,89.7,42.2,85.62,1199.71,155170
Henan,2013,126.24,20.95,14204,31632.5,2114.0,3571.0,4094.0,9993,3689,12.27,6.76,5.51,109.6,40.2,76.49,700.69,55920
Hubei,2013,64.58,15.09,16472,25378.0,3144.0,2607.0,2567.0,5680,2550,11.08,6.15,4.93,145.0,40.2,76.16,354.4,50816
Hunan,2013,62.06,16.73,16005,23545.2,2106.0,2797.0,3228.0,7046,2880,13.5,6.96,6.54,282.7,45.6,68.3,366.74,41336
Guangdong,2013,87.47,17.7,23421,62503.4,2199.0,4239.0,3821.0,7626,3347,10.71,4.69,6.02,489.8,38.0,138.16,1177.37,264265
Guangxi,2013,47.19,9.32,14082,12448.4,1939.0,3727.0,4167.0,9104,3881,14.28,6.35,7.93,63.1,18.0,62.2,276.29,23251
Hainan,2013,9.12,1.32,15733,3115.9,2253.0,3846.0,3910.0,8345,3368,14.59,5.9,8.69,37.5,3.9,95.87,64.8,2359
Chongqing,2013,30.31,13.37,16569,13027.6,2894.0,3989.0,3455.0,6754,3033,10.37,6.77,3.6,51.1,12.1,80.16,192.77,49036
Sichuan,2013,77.68,26.83,14231,26518.0,2140.0,3497.0,3365.0,6513,2866,9.9,6.9,3.0,1202.6,42.9,77.5,573.03,82453
Guizhou,2013,42.98,8.57,11083,7973.1,1535.0,3943.0,6036.0,10205,3093,13.05,7.15,5.9,129.0,13.7,76.03,201.0,17405
Yunnan,2013,45.21,9.13,12578,12825.5,1662.0,2860.0,4023.0,8416,2555,12.6,6.43,6.17,154.2,18.1,72.46,374.01,11512
Tibet,2013,1.16,0.18,9740,828.2,1528.0,2292.0,4095.0,9571,2383,15.77,5.39,10.38,42.0,1.6,85.13,26.72,203
Shaanxi,2013,39.57,8.06,14372,15905.4,3612.0,4012.0,3202.0,6057,3387,10.01,6.15,3.86,231.7,21.1,93.32,336.08,57287
Gansu,2013,18.65,3.85,10954,6014.5,2193.0,4048.0,4018.0,7243,2133,12.16,6.08,6.08,542.7,9.3,76.53,156.38,10976
Qinghai,2013,4.75,1.08,12948,1713.3,1162.0,3638.0,3632.0,8283,2909,14.16,6.13,8.03,13.6,4.2,93.88,58.84,1099
Ningxia,2013,6.38,1.59,14566,2327.7,2195.0,4097.0,4401.0,9335,2613,13.12,4.5,8.62,15.4,4.7,95.87,79.23,3230
Xinjiang,2013,26.07,10.91,13670,8392.6,1681.0,3266.0,4113.0,8484,3220,15.84,4.92,10.92,80.4,11.9,94.24,236.96,8224
