Region,year,marriage,divorce,income,grp,higher_edu,senior_edu,junior_edu,primary_edu,kindergarten_edu,birth,death,natural_growth,natural_disaster,urban_unemployment,mobile_owner,car_owner,patent
Jiangsu,2018,63.77,28.48,38096,93207.6,3143.0,2323.0,2812.0,6980,3183,9.32,7.03,2.29,41.3,34.4,121.65,1776.57,600306
Zhejiang,2018,33.73,15.42,45840,58002.8,2370.0,2581.0,2854.0,6374,3419,11.02,5.58,5.44,36.8,34.1,144.83,1532.95,455590
Anhui,2018,61.91,24.38,23984,34010.9,2245.0,3065.0,3344.0,7304,3313,12.41,5.96,6.45,138.2,28.1,87.54,814.2,207428
Fujian,2018,27.36,10.69,32644,38687.8,2355.0,2659.0,3291.0,8218,4306,13.2,6.2,7.0,38.1,17.3,115.54,622.82,166610
Jiangxi,2018,33.06,12.51,24080,22716.5,2771.0,3242.0,4478.0,9113,3490,13.43,6.06,7.37,58.8,35.1,87.0,537.55,86001
Shandong,2018,59.9,27.45,29205,66648.9,2588.0,2723.0,3455.0,7255,3074,13.26,7.18,6.08,289.6,46.5,105.2,2128.29,231585
Henan,2018,80.9,32.6,21964,49935.9,2653.0,3631.0,4727.0,10405,4582,11.72,6.8,4.92,63.5,48.6,97.39,1449.68,154381
Hubei,2018,43.78,20.1,25815,42022.0,3088.0,2153.0,2690.0,6211,2949,11.54,7.0,4.54,81.1,36.1,94.13,772.4,124535
Hunan,2018,42.16,21.32,25241,36329.7,2610.0,2891.0,3505.0,7609,3283,12.19,7.08,5.11,64.5,40.4,91.36,780.96,94503
Guangdong,2018,71.38,22.88,35810,99945.2,2542.0,2917.0,3335.0,8849,4021,12.79,4.55,8.24,258.6,36.5,148.27,2116.28,793819
Guangxi,2018,36.19,12.87,21485,19627.8,2602.0,3756.0,4353.0,9760,4499,14.12,5.96,8.16,14.5,16.7,102.42,588.42,44224
Hainan,2018,7.27,1.96,24579,4910.7,2305.0,3362.0,3810.0,8983,4040,14.48,6.01,8.47,6.0,5.5,116.16,126.9,6451
Chongqing,2018,25.88,15.33,26386,21588.8,3081.0,3268.0,3400.0,6814,3132,11.02,7.54,3.48,18.6,13.1,117.7,419.1,72121
Sichuan,2018,66.9,31.26,22461,42902.1,2409.0,2799.0,3154.0,6691,3142,11.05,7.01,4.04,340.5,53.3,108.72,1098.17,152987
Guizhou,2018,40.03,15.17,18430,15353.2,2254.0,4379.0,5051.0,10384,4328,13.9,6.85,7.05,39.1,15.1,109.46,478.98,44508
Yunnan,2018,37.76,13.33,20084,20880.6,2166.0,3147.0,3877.0,7905,2981,13.19,6.32,6.87,162.9,20.9,96.47,677.5,36515
Tibet,2018,3.01,0.47,17286,1548.4,1616.0,2508.0,3840.0,9684,3660,15.22,4.58,10.64,7.7,2.1,90.84,51.45,1469
Shaanxi,2018,30.04,12.84,22528,23941.9,3562.0,2894.0,2830.0,6926,3685,10.67,6.24,4.43,64.1,24.1,121.33,616.8,76512
Gansu,2018,21.07,5.78,17488,8104.1,2258.0,2954.0,3313.0,7222,3596,11.07,6.65,4.42,249.8,10.0,103.74,315.07,27882
Qinghai,2018,5.73,1.71,20757,2748.0,1426.0,3697.0,3726.0,8128,3590,14.31,6.25,8.06,28.2,4.6,113.79,109.87,4439
Ningxia,2018,6.07,2.28,22400,3510.2,2379.0,3330.0,4259.0,8526,3542,13.32,5.54,7.78,7.3,5.4,128.04,144.78,9860
Xinjiang,2018,15.37,5.95,21500,12809.4,1954.0,3631.0,3781.0,9926,6371,10.69,4.56,6.13,53.5,9.5,108.73,396.7,14647
Beijing,2017,15.15,8.06,57230,29883.0,5300.0,1245.0,1226.0,4031,2050,9.06,5.3,3.76,0.8,8.1,172.85,563.1,185928
Tianjin,2017,9.51,5.89,37022,12450.6,4072.0,1820.0,1679.0,4149,1674,7.65,5.05,2.6,0.0,26.0,101.49,287.69,86996
Hebei,2017,50.49,23.24,21484,30640.8,2328.0,2822.0,3481.0,8530,3179,13.2,6.6,6.6,46.0,39.9,100.83,1387.21,61288
Shanxi,2017,28.77,8.22,20420,14484.3,2401.0,3119.0,2940.0,6196,2791,11.06,5.45,5.61,58.0,26.5,98.53,591.98,20697
Inner Mongolia,2017,18.7,10.09,26212,14898.1,1969.0,2559.0,2455.0,5260,2540,9.47,5.74,3.73,126.5,27.1,112.36,480.22,11701
Liaoning,2017,29.19,16.68,27835,21693.0,2859.0,2303.0,2201.0,4445,2179,6.49,6.93,-0.44,108.5,42.7,108.85,727.08,49871
Jilin,2017,20.63,13.36,21368,10922.0,3038.0,2123.0,2264.0,4494,1666,6.76,6.5,0.26,394.8,26.3,105.57,387.15,20450
Heilongjiang,2017,28.67,19.69,21206,12313.0,2403.0,2158.0,2380.0,3623,1472,6.22,6.63,-0.41,54.7,39.7,96.53,435.32,30958
Shanghai,2017,10.87,5.88,58988,32925.0,3498.0,1099.0,1701.0,3243,2367,8.1,5.3,2.8,2.04,22.1,136.4,360.96,131740
Jiangsu,2017,67.55,28.78,35024,85869.8,3045.0,2316.0,2609.0,6753,3257,9.71,7.03,2.68,8.0,34.7,109.69,1612.82,514402
Zhejiang,2017,34.44,15.77,42046,52403.1,2345.0,2635.0,2788.0,6333,3503,11.92,5.56,6.36,46.2,33.8,134.18,1395.8,377115
Anhui,2017,67.38,24.21,21863,29676.2,2250.0,3123.0,3263.0,7110,3242,14.07,5.9,8.17,21.2,29.0,78.09,708.93,175872
Fujian,2017,29.14,10.59,30048,33842.4,2352.0,2717.0,3138.0,7927,4272,15.0,6.2,8.8,17.1,17.1,109.82,557.01,128079
Jiangxi,2017,28.91,11.08,22031,20210.8,2676.0,3150.0,4160.0,9209,3505,13.79,6.08,7.71,118.2,32.3,74.62,465.9,70591
Shandong,2017,62.58,27.25,26930,63012.1,2519.0,2796.0,3311.0,7122,2787,17.54,7.4,10.14,86.8,45.7,99.38,1929.55,204859
Henan,2017,86.97,31.66,20170,44824.9,2455.0,3551.0,4502.0,10303,4458,12.95,6.97,5.98,58.2,40.7,89.48,1274.45,119240
Hubei,2017,47.21,19.93,23757,37235.0,3000.0,2156.0,2527.0,6025,2991,12.6,7.01,5.59,149.7,37.1,84.62,679.81,110234
Hunan,2017,45.77,20.76,23103,33828.1,2419.0,2905.0,3366.0,7500,3357,13.27,7.08,6.19,588.0,44.5,82.85,683.19,77934
Guangdong,2017,75.81,22.03,33003,91648.7,2454.0,3128.0,3238.0,8564,4013,13.68,4.52,9.16,316.2,37.1,132.48,1894.22,627834
Guangxi,2017,37.94,12.0,19905,17790.7,2383.0,3686.0,4206.0,9586,4423,15.14,6.22,8.92,99.0,14.7,89.77,502.13,56988
Hainan,2017,7.58,1.78,22553,4497.5,2261.0,3402.0,3635.0,8828,3973,14.73,6.01,8.72,4.0,5.5,108.83,113.21,4564
Chongqing,2017,26.6,15.08,24153,20066.3,3084.0,3305.0,3249.0,6888,3145,11.18,7.27,3.91,24.5,14.3,106.49,370.47,64648
Sichuan,2017,68.95,31.17,20580,37905.1,2339.0,2889.0,3015.0,6679,3177,11.26,7.03,4.23,153.9,55.8,92.67,990.3,167484
Guizhou,2017,40.36,13.45,16704,13605.4,2129.0,4502.0,5147.0,10185,4316,13.98,6.88,7.1,57.6,14.9,97.36,414.01,34610
Yunnan,2017,40.28,12.71,18348,18486.0,1999.0,3094.0,3925.0,7864,2922,13.53,6.68,6.85,76.6,19.8,88.08,622.66,28695
Tibet,2017,3.41,0.4,15457,1349.0,1678.0,2358.0,3763.0,9520,3213,16.0,4.95,11.05,17.8,1.9,86.11,40.88,1097
Shaanxi,2017,30.06,10.88,20635,21473.5,3582.0,3076.0,2753.0,6617,3804,11.11,6.24,4.87,162.9,23.4,110.04,549.51,98935
Gansu,2017,19.79,5.41,16011,7336.7,2217.0,3098.0,3280.0,7110,3562,12.54,6.52,6.02,105.1,9.6,96.22,287.45,24448
Qinghai,2017,5.97,1.64,19001,2465.1,1391.0,3647.0,3471.0,7843,3495,14.42,6.17,8.25,17.4,4.7,102.09,99.57,3181
Ningxia,2017,6.03,2.22,20562,3200.3,2278.0,3412.0,4136.0,8613,3415,13.44,4.75,8.69,12.0,5.1,116.16,130.94,8575
Xinjiang,2017,18.39,7.44,19975,11159.9,1863.0,3712.0,3761.0,9534,6035,15.88,4.48,11.4,89.1,10.0,92.13,363.15,14260
Beijing,2016,16.62,10.58,52530,27041.2,5028.0,1321.0,1236.0,4000,1921,9.32,5.2,4.12,16.7,8.0,178.06,547.44,189129
Tianjin,2016,9.82,6.52,34074,11477.2,4058.0,1851.0,1657.0,4080,1724,7.37,5.54,1.83,3.6,25.8,96.01,273.69,106514
Hebei,2016,55.19,22.02,19725,28474.1,2191.0,2657.0,3281.0,8358,3153,12.42,6.36,6.06,618.9,39.7,95.33,1245.89,54838
Shanxi,2016,30.01,7.65,19049,11946.4,2439.0,3270.0,2982.0,6198,2705,10.29,5.52,4.77,109.0,26.1,91.42,526.39,20031
Inner Mongolia,2016,19.84,9.84,24127,13789.3,1937.0,2669.0,2439.0,5329,2419,9.03,5.69,3.34,179.8,26.7,98.04,418.53,10672
Liaoning,2016,31.26,16.01,26040,20392.5,2845.0,2297.0,2233.0,4538,2083,6.6,6.78,-0.18,45.9,47.3,101.13,659.41,52603
Jilin,2016,22.15,12.92,19967,10427.0,3048.0,2040.0,2195.0,4592,1683,5.55,5.6,-0.05,98.7,25.7,97.14,352.93,18922
Heilongjiang,2016,30.63,18.72,19838,11895.0,2427.0,2193.0,2371.0,3776,1385,6.12,6.61,-0.49,160.4,39.6,90.69,394.19,35293
Shanghai,2016,12.52,8.26,54305,29887.0,3327.0,1120.0,1711.0,3270,2304,9.0,5.0,4.0,0.2,24.3,130.44,322.87,119937
Jiangsu,2016,71.61,26.13,32070,77350.9,2937.0,2318.0,2444.0,6547,3225,9.76,7.03,2.73,120.9,35.2,102.5,1427.91,512429
Zhejiang,2016,36.68,14.71,38529,47254.0,2355.0,2589.0,2714.0,6410,3463,11.22,5.52,5.7,167.3,33.9,129.27,1257.35,393147
Anhui,2016,71.34,21.72,19998,26307.7,2259.0,3145.0,3161.0,7005,3136,13.02,5.96,7.06,564.0,30.4,70.1,600.81,172552
Fujian,2016,31.46,9.63,27608,29609.4,2438.0,2787.0,3008.0,7780,4079,14.5,6.2,8.3,473.5,16.3,107.36,493.64,130376
Jiangxi,2016,30.2,10.21,20110,18388.6,2698.0,3125.0,3948.0,9259,3483,13.45,6.16,7.29,106.0,31.3,68.39,399.29,60494
Shandong,2016,67.07,25.45,24685,58762.5,2620.0,2837.0,3208.0,7021,2795,17.89,7.05,10.84,72.6,45.8,96.46,1723.34,212911
Henan,2016,96.9,27.75,18443,40249.3,2352.0,3458.0,4386.0,10186,4311,13.26,7.11,6.15,124.6,43.6,82.76,1104.47,94669
Hubei,2016,51.38,18.31,21787,33353.0,2950.0,2239.0,2418.0,5915,2904,12.04,6.97,5.07,837.7,32.9,79.59,588.69,95157
Hunan,2016,49.94,19.35,21115,30853.5,2251.0,2787.0,3318.0,7398,3316,13.57,7.01,6.56,265.5,44.9,73.2,595.8,67779
Guangdong,2016,78.61,21.19,30296,82163.2,2431.0,3344.0,3206.0,8344,3887,11.85,4.41,7.44,146.9,38.0,130.46,1674.64,505667
Guangxi,2016,39.4,11.28,18305,16116.6,2279.0,3602.0,4144.0,9411,4371,13.82,5.95,7.87,28.5,18.1,78.01,424.9,59239
Hainan,2016,7.83,1.66,20653,4090.2,2258.0,3371.0,3554.0,8711,3815,14.57,6.0,8.57,79.3,5.1,102.75,96.32,3658
Chongqing,2016,27.85,13.9,22034,18023.0,3059.0,3461.0,3202.0,6955,3091,11.77,7.24,4.53,47.9,15.7,94.48,327.47,59518
Sichuan,2016,72.71,29.62,18808,33138.5,2314.0,3025.0,2984.0,6698,3161,10.48,6.99,3.49,77.5,56.3,88.29,880.8,142522
Guizhou,2016,45.32,12.1,15121,11792.4,2005.0,4583.0,5358.0,10011,4097,13.43,6.93,6.5,173.3,14.8,86.71,348.7,25315
Yunnan,2016,44.61,11.93,16720,16369.0,1889.0,2965.0,3950.0,7942,2773,13.16,6.55,6.61,141.0,20.1,82.65,552.05,23709
Tibet,2016,3.01,0.35,13639,1173.0,1765.0,2316.0,3712.0,9349,2987,15.79,5.11,10.68,33.0,1.8,85.9,37.48,712
Shaanxi,2016,33.24,10.14,18874,19045.8,3540.0,3101.0,2771.0,6375,3774,10.64,6.23,4.41,78.4,22.7,100.02,491.23,69611
Gansu,2016,21.91,5.03,14670,6907.9,2189.0,3295.0,3370.0,7006,3431,12.18,6.18,6.0,91.3,9.8,84.44,277.25,20276
Qinghai,2016,6.12,1.52,17302,2258.2,1319.0,3637.0,3536.0,7787,3398,14.7,6.18,8.52,32.1,4.6,90.95,88.65,3284
Ningxia,2016,6.2,1.95,18832,2781.4,2225.0,3489.0,4112.0,8726,3087,13.69,4.72,8.97,17.4,5.1,106.15,115.34,6149
Xinjiang,2016,21.41,9.36,18355,9630.8,1780.0,3565.0,3792.0,9150,3896,15.34,4.26,11.08,121.2,9.7,88.91,327.06,14105
Beijing,2015,16.6,8.22,48458,24779.1,5218.0,1426.0,1317.0,3951,1831,7.96,4.95,3.01,1.3,7.8,181.73,533.81,156312
Tianjin,2015,10.12,5.19,31291,10879.5,4185.0,1866.0,1724.0,3969,1665,5.84,5.61,0.23,1.38,25.1,88.54,273.62,79963
Hebei,2015,60.94,19.9,18118,26398.4,2141.0,2555.0,3198.0,8075,3138,11.35,5.79,5.56,107.5,39.4,82.63,1075.03,44060
Shanxi,2015,34.68,7.22,17854,11836.4,2504.0,3486.0,3089.0,6221,2694,9.98,5.56,4.42,103.3,25.6,88.46,468.97,14948
Inner Mongolia,2015,21.79,9.19,22310,12949.0,2035.0,2779.0,2553.0,5244,2369,7.72,5.32,2.4,113.5,25.9,94.66,373.61,8876
Liaoning,2015,31.7,15.23,24576,20210.3,2876.0,2334.0,2307.0,4554,2074,6.17,6.59,-0.42,65.1,46.2,97.89,582.5,42153
Jilin,2015,23.45,12.74,18684,10018.0,3169.0,2111.0,2164.0,4650,1685,5.87,5.53,0.34,81.9,23.9,91.22,313.74,14800
Heilongjiang,2015,31.82,18.98,18593,11690.0,2518.0,2313.0,2348.0,3856,1389,6.0,6.6,-0.6,39.5,41.0,87.36,351.75,34611
Shanghai,2015,14.18,6.66,49867,26887.0,3330.0,1149.0,1700.0,3292,2209,7.52,5.07,2.45,3.5,24.8,129.69,282.23,100006
Jiangsu,2015,78.6,22.93,29539,71255.9,2896.0,2407.0,2346.0,6277,3150,9.05,7.03,2.02,84.9,36.0,100.21,1240.91,428337
Zhejiang,2015,39.25,13.96,35537,43507.7,2414.0,2647.0,2686.0,6481,3452,10.52,5.5,5.02,228.2,33.7,131.5,1120.58,307264
